,index,county_fips,county_name,state,DEMOCRAT_2000,DEMOCRAT_2004,DEMOCRAT_2008,DEMOCRAT_2012,DEMOCRAT_2016,DEMOCRAT_2020,GREEN_2000,GREEN_2020,LIBERTARIAN_2020,OTHER_2000,OTHER_2004,OTHER_2008,OTHER_2012,OTHER_2016,OTHER_2020,REPUBLICAN_2000,REPUBLICAN_2004,REPUBLICAN_2008,REPUBLICAN_2012,REPUBLICAN_2016,REPUBLICAN_2020
1223,1223,24039.0,SOMERSET,MARYLAND,49.77643345607575,44.85212363798088,48.155985489721886,50.38946052505049,42.38383838383839,8.35912092244013,1.8674381904260917,0.07489898492165172,0.16162412535724843,0.8942661756970015,0.8450077829664221,1.0882708585247884,1.1251081834791807,3.6666666666666665,0.09263821819256922,47.46186217780116,54.3028685790527,50.75574365175333,48.485431291470334,53.94949494949495,11.3117177490884
1224,1224,24041.0,TALBOT,MARYLAND,38.42720231062098,39.05322307039864,44.44608421881149,43.05195757368395,42.100909842845326,9.808911549545556,2.7832479978994353,0.07359787186876524,0.2429616493017069,0.5382696599711172,1.107930449533503,1.4659582841401022,1.5250012219561073,5.721792439059991,0.16847705608512525,58.251280031508465,59.83884648006785,54.087957497048414,55.42304120435993,52.177297718094685,9.706051873198847
1225,1225,24043.0,WASHINGTON,MARYLAND,38.3842426795871,35.20827576678641,42.60551948051948,39.904390088439165,32.01800245488021,7.684976172560821,2.163471666315568,0.09117868366308149,0.24668407618879,0.5772066568358963,1.036197844708483,1.9253246753246755,2.6117440841367223,5.8553439105332545,0.10799805249413537,58.87507899726143,63.75552638850511,55.46915584415585,57.48386582742411,62.12665363458654,11.86916301509317
1226,1226,24045.0,WICOMICO,MARYLAND,45.50715521308382,40.362104364984134,46.437616476322454,46.463475236044395,42.42367264436975,9.543880907045178,2.3966032395030665,0.12636316427211355,0.23281980266574345,0.7108035854694135,0.9812548329466976,1.359487743106991,2.035069452660972,5.4034361999670955,0.16790721827938376,51.3854379619437,58.65664080206917,52.20289578057056,51.50145531129463,52.17289115566315,9.92902890773758
1227,1227,24047.0,WORCESTER,MARYLAND,45.24165180937696,38.24170597328471,41.5929203539823,40.16776075857039,34.49580872210236,7.926540658231043,2.3225557750686647,0.0504875201161213,0.2120475844877095,0.674601262468077,0.9195766776328829,1.3347473122211657,1.6593727206418674,4.633395819332932,0.09087753620901834,51.76119115308631,60.83871734908241,57.07233233379654,58.17286652078775,60.87079545856471,11.720046700956107
1228,1228,24510.0,BALTIMORE CITY,MARYLAND,82.51647574894493,81.95333461320547,87.15971183243349,87.19434656798094,84.6580229070768,17.456340199022158,2.864805305503004,0.11269218945426826,0.1483190923983307,0.5077857009209789,1.082116284187804,1.1798282703441096,1.7149268715182773,4.8136607045889335,0.14553968862255276,14.110933244631088,16.964549102606725,11.660459897222403,11.090726560500777,10.528316388334266,2.137108830502693
1229,1229,25001.0,BARNSTABLE,MASSACHUSETTS,51.503063938027516,54.60241547355995,56.14576245558328,53.20362092927168,54.1079619309438,60.71730291990073,6.587053829509605,0.42108875864617984,1.2249854796979776,0.8762367243116462,1.1086055029209674,1.7479398200650185,1.3875220673853434,5.478029612586096,1.1306035165531443,41.03364550815123,44.28897902351909,42.106297724351705,45.40885700334297,40.4140084564701,36.50601932520197
1230,1230,25003.0,BERKSHIRE,MASSACHUSETTS,63.8501287640336,73.12340138763382,74.94026916679269,75.74202152405172,67.45675354536056,72.04163241420629,7.527225597953241,0.647893996182302,1.2916080310989118,2.019827977983875,1.136450659355807,2.5646453954332378,2.1570573457804794,6.558338348533247,0.8499254573574285,26.602817660029288,25.740147953010368,22.495085437774083,22.100921130167787,25.984908106106197,25.168940101155062
1231,1231,25005.0,BRISTOL,MASSACHUSETTS,64.5059786028949,63.489895997045664,60.40679499835472,59.19530949157175,52.03266401294992,54.51194893447634,4.520741753691971,0.5071722039777655,1.3032939537396397,1.2349943455239736,1.073523475811369,2.3288910825929583,1.9854332550753802,5.613775762274109,1.073698127692242,29.738285297889156,35.43658052714297,37.26431391905232,38.81925725335288,42.35356022477597,42.60388678011402
1232,1232,25007.0,DUKES,MASSACHUSETTS,61.811201445347784,72.67180154046213,74.98341703780915,72.73887673231218,73.03077725612937,77.01390507263264,11.099819331526648,0.6369921541210285,1.072011186203682,0.9485094850948509,1.3003901170351104,1.8762437221643133,1.8052516411378556,5.433837593462006,0.8389652761594033,26.140469738030713,26.02780834250275,23.140339240026535,25.455871626549964,21.535385150408626,20.438126310883245
