GEO_ID,lessthan50K,50to75k,75to100k,morethan100k
5007,42.2,20.2,12.4,25.1
5009,62.9,17.9,8.1,11.2
5011,63.9,15.0,9.3,11.7
5013,63.7,15.3,6.8,14.1
5015,62.2,19.0,10.2,8.6
5017,68.4,16.7,7.7,7.3
5019,61.6,16.0,11.3,11.2
5021,68.8,16.5,7.6,7.1
5023,57.3,19.1,9.5,13.9
5025,57.1,19.9,8.2,14.8
5027,60.9,16.6,10.1,12.3
5029,59.7,17.5,10.0,12.7
5031,56.0,18.1,10.8,15.1
5033,59.1,19.4,10.3,11.2
5035,58.3,18.5,9.7,13.3
5037,61.6,15.8,9.7,12.9
5039,70.6,13.6,8.6,7.2
5041,69.7,19.6,5.9,4.7
5043,63.0,19.4,7.9,9.6
5045,49.5,18.9,12.6,19.1
5047,59.9,19.1,9.5,11.6
5049,68.1,15.6,6.6,9.6
5051,58.9,17.6,9.4,14.2
5053,50.6,20.7,12.1,16.7
5055,55.1,21.0,11.7,12.1
5057,67.2,16.1,6.7,10.1
5059,57.0,20.9,10.7,11.4
5061,64.4,15.5,6.9,13.1
5063,60.3,18.4,9.9,11.3
5065,66.4,16.1,11.8,5.7
5067,69.0,14.8,7.1,9.1
5069,62.9,16.7,9.1,11.3
5071,68.3,15.7,7.3,8.7
5073,68.5,14.8,6.9,9.9
5075,67.0,16.1,8.4,8.7
5077,74.6,11.6,7.0,6.8
5079,64.5,16.5,9.7,9.3
5081,61.9,18.9,9.6,9.5
5083,64.8,16.1,8.1,10.9
5085,43.4,23.0,13.9,19.7
5087,59.1,17.0,12.6,11.3
5089,70.2,17.0,6.1,6.6
5091,60.0,16.3,12.2,11.5
5093,65.4,14.6,8.2,11.8
5095,66.7,16.4,9.6,7.3
5097,64.5,16.6,7.7,11.3
5099,70.6,15.2,5.5,8.7
5101,69.9,13.1,11.2,5.7
5103,67.1,16.3,6.5,10.1
5105,54.7,21.8,11.3,12.2
5107,71.1,13.0,7.3,8.5
5109,63.2,18.2,9.7,9.0
5111,68.0,18.1,7.8,6.2
5113,68.5,16.2,5.9,9.4
5115,59.7,17.5,9.6,13.2
5117,67.7,14.0,8.8,9.6
5119,52.6,17.5,10.5,19.4
5121,65.9,17.7,7.0,9.5
5123,67.5,19.4,6.5,6.6
5125,42.8,20.6,14.4,22.1
5127,67.4,16.2,9.4,6.9
5129,67.6,14.7,9.7,8.1
5131,59.9,17.6,9.3,13.3
5133,60.2,21.0,10.1,8.7
5135,72.1,15.8,8.3,3.9
5137,69.2,12.9,6.1,11.7
5139,59.1,17.4,11.4,12.1
5141,66.4,14.6,8.8,10.2
5143,54.6,18.0,9.3,18.1
5145,56.8,17.6,10.9,14.7
5147,71.1,14.1,9.2,5.6
5149,61.8,13.9,13.1,11.1
6001,32.7,14.7,11.9,40.7
6003,38.7,26.2,9.6,25.4
6005,45.2,20.2,14.1,20.3
6007,54.5,17.0,10.5,17.9
6009,47.2,15.6,11.8,25.4
6011,44.6,22.4,14.1,19.0
6013,30.0,15.7,12.4,42.1
6015,55.7,19.6,10.2,14.6
6017,35.4,16.0,12.4,36.1
6019,53.2,17.1,10.7,19.1
6021,56.9,19.5,9.2,14.3
6023,57.3,17.6,10.9,14.1
6025,55.9,16.4,11.1,16.7
6027,51.8,16.5,12.1,19.4
6029,50.1,17.5,11.7,20.6
6031,52.8,17.8,12.0,17.4
6033,61.7,15.5,10.8,12.1
6035,48.7,20.3,11.6,19.5
6037,44.0,16.5,11.6,27.9
6039,53.4,18.0,10.5,18.1
6041,27.1,12.2,10.7,50.2
6043,50.8,20.0,12.3,16.8
6045,55.4,18.5,10.5,15.6
6047,54.6,18.5,10.5,16.3
6049,60.3,18.6,11.1,10.1
6051,38.2,24.1,14.4,23.4
6053,40.5,19.4,13.0,27.1
6055,33.4,16.8,13.0,36.8
6057,44.2,17.1,12.6,26.0
6059,32.2,16.0,12.9,38.9
6061,32.0,16.7,13.2,38.1
6063,49.8,19.7,14.4,16.1
6065,43.6,18.2,13.0,25.2
6067,43.9,17.9,12.6,25.6
6069,33.3,17.4,14.9,34.3
6071,45.8,18.7,12.8,22.6
6073,37.9,17.0,12.8,32.2
6075,32.4,12.1,10.2,45.3
6077,45.6,18.0,12.3,24.1
6079,39.3,17.8,13.7,29.2
6081,25.0,13.6,12.2,49.4
6083,39.1,16.7,13.0,31.0
6085,25.6,12.7,11.0,50.7
6087,37.0,16.2,12.4,34.5
6089,54.0,18.4,10.5,17.2
6091,54.3,12.7,8.2,24.8
6093,59.7,18.6,10.4,11.2
6095,35.8,17.7,14.7,31.8
6097,36.7,18.3,13.4,31.5
6099,48.2,18.7,12.3,20.7
6101,47.3,18.8,11.9,22.0
6103,58.5,17.6,10.8,13.0
6105,62.5,15.6,10.2,11.7
6107,56.8,17.1,9.9,16.2
6109,49.1,20.1,11.7,19.1
6111,31.0,16.8,13.8,38.4
6113,44.1,16.7,10.8,28.4
6115,51.3,20.1,12.0,16.5
8001,40.0,20.7,15.2,24.1
8003,66.7,15.5,9.6,8.1
8005,36.7,19.3,13.5,30.5
8007,54.2,18.0,9.9,17.8
8009,62.7,16.6,9.6,11.1
8011,65.9,15.2,8.5,10.3
8013,36.0,15.6,12.0,36.4
8014,27.4,16.5,16.6,39.5
8015,48.6,21.2,14.3,16.0
8017,44.4,27.2,13.8,14.7
8019,35.6,20.0,13.4,31.0
8021,62.4,18.1,8.3,11.1
8023,77.0,6.6,6.2,10.2
8025,67.4,16.9,9.2,6.4
8027,59.3,22.9,8.9,8.8
8029,56.5,18.1,10.2,15.3
8031,44.8,17.2,11.8,26.4
8033,66.9,10.8,8.6,13.7
8035,18.3,13.9,14.2,53.6
8037,27.3,19.8,14.8,38.1
8039,25.5,15.2,17.1,42.2
8041,41.1,19.3,13.6,26.1
8043,58.9,18.8,10.1,12.4
8045,39.0,19.4,15.4,26.2
8047,34.3,25.8,12.8,27.2
8049,38.7,18.3,20.0,23.1
8051,49.5,19.5,14.9,16.3
8053,48.6,22.4,12.2,16.7
8055,65.1,12.2,11.0,11.6
8057,58.5,14.6,13.3,13.6
8059,33.9,18.1,14.2,33.7
8061,63.5,13.1,15.3,8.1
8063,56.2,19.2,12.5,12.0
8065,50.9,20.0,12.3,16.7
8067,39.9,20.6,13.7,25.8
8069,41.2,17.6,14.5,26.7
8071,58.0,19.0,9.6,13.5
8073,59.4,17.0,12.4,11.3
8075,54.2,19.7,12.6,13.5
8077,49.9,19.5,12.2,18.3
8079,50.8,17.4,11.5,20.3
8081,46.6,18.0,16.3,19.2
8083,57.1,19.0,12.4,11.6
8085,56.2,18.8,12.1,12.9
8087,50.5,19.6,15.0,14.7
8089,65.3,17.1,8.2,9.4
8091,38.4,23.2,16.1,22.2
8093,39.9,20.2,13.3,26.5
8095,51.9,18.0,15.3,14.9
8097,32.8,19.9,12.5,34.9
8099,59.8,16.3,10.8,13.1
8101,57.0,18.0,11.1,13.9
8103,44.7,17.8,17.6,19.8
8105,59.6,17.5,11.4,11.5
8107,41.1,17.9,13.9,27.1
8109,67.1,15.3,6.1,11.6
8111,56.4,17.3,12.3,14.1
8113,44.4,18.4,14.2,23.0
8115,54.1,23.5,10.8,11.6
8117,34.7,20.6,14.6,30.1
8119,38.2,20.0,12.6,29.0
8121,53.6,19.2,10.7,16.5
8123,39.4,19.4,16.1,25.2
8125,58.3,18.3,11.4,11.9
9001,30.7,13.8,11.3,44.3
9003,37.8,16.3,13.2,32.7
9005,32.9,18.2,14.5,34.5
9007,30.2,17.0,13.3,39.5
9009,40.8,16.5,12.2,30.5
9011,36.0,18.5,13.6,31.9
9013,30.6,16.1,14.5,38.7
