GEO_ID,manu_arg
0500000US21057,27.5
0500000US21059,18.5
0500000US21061,16.8
0500000US21063,11.7
0500000US21065,30.0
0500000US21067,11.1
0500000US21069,25.8
0500000US21071,11.7
0500000US21073,12.2
0500000US21075,22.7
0500000US21077,26.6
0500000US21079,13.9
0500000US21081,25.9
0500000US21083,19.7
0500000US21085,27.0
0500000US21087,24.6
0500000US21089,11.4
0500000US21091,37.6
0500000US21093,13.7
0500000US21095,16.2
0500000US21097,31.9
0500000US21099,27.0
0500000US21101,20.8
0500000US21103,22.7
0500000US21105,28.4
0500000US21107,22.9
0500000US21109,21.0
0500000US21111,11.9
0500000US21113,12.6
0500000US21115,11.1
0500000US21117,12.6
0500000US21119,9.5
0500000US21121,14.6
0500000US21123,25.4
0500000US21125,15.7
0500000US21127,14.6
0500000US21129,13.4
0500000US21131,20.7
0500000US21133,13.9
0500000US21135,23.7
0500000US21137,17.2
0500000US21139,13.7
0500000US21141,31.1
0500000US21143,19.5
0500000US21145,11.4
0500000US21147,16.2
0500000US21149,27.7
0500000US21151,15.1
0500000US21153,15.1
0500000US21155,34.0
0500000US21157,17.7
0500000US21159,23.7
0500000US21161,22.8
0500000US21163,14.4
0500000US21165,28.3
0500000US21167,26.4
0500000US21169,31.0
0500000US21171,28.6
0500000US21173,28.3
0500000US21175,16.0
0500000US21177,22.8
0500000US21179,25.5
0500000US21181,29.5
0500000US21183,31.0
0500000US21185,14.4
0500000US21187,25.3
0500000US21189,13.2
0500000US21191,19.1
0500000US21193,10.9
0500000US21195,17.8
0500000US21197,26.0
0500000US21199,15.4
0500000US21201,36.3
0500000US21203,24.4
0500000US21205,16.7
0500000US21207,23.8
0500000US21209,27.7
0500000US21211,18.3
0500000US21213,28.8
0500000US21215,21.6
0500000US21217,21.3
0500000US21219,28.2
0500000US21221,20.7
0500000US21223,23.0
0500000US21225,31.7
0500000US21227,18.1
0500000US21229,32.3
0500000US21231,29.6
0500000US21233,35.4
0500000US21235,17.5
0500000US21237,16.2
0500000US21239,22.8
0500000US22001,22.7
0500000US22003,12.9
0500000US22005,14.8
0500000US22007,19.7
0500000US22009,11.6
0500000US22011,16.1
0500000US22013,24.5
0500000US22015,10.7
0500000US22017,9.4
0500000US22019,14.0
0500000US22021,15.8
0500000US22023,20.8
0500000US22025,22.3
0500000US22027,23.6
0500000US22029,15.5
0500000US22031,19.5
0500000US22033,8.5
0500000US22035,17.4
0500000US22037,12.8
0500000US22039,18.5
0500000US22041,18.6
0500000US22043,17.1
0500000US22045,24.7
0500000US22047,17.4
0500000US22049,25.0
0500000US22051,8.0
0500000US22053,18.3
0500000US22055,16.7
0500000US22057,21.5
0500000US22059,21.7
0500000US22061,9.1
0500000US22063,13.5
0500000US22065,12.8
0500000US22067,17.7
0500000US22069,20.5
0500000US22071,5.1
0500000US22073,9.3
0500000US22075,19.1
0500000US22077,14.6
0500000US22079,10.8
0500000US22081,18.6
0500000US22083,13.7
0500000US22085,24.6
0500000US22087,11.8
0500000US22089,13.8
0500000US22091,15.5
0500000US22093,25.1
0500000US22095,14.4
0500000US22097,10.7
0500000US22099,19.6
0500000US22101,23.3
0500000US22103,8.1
0500000US22105,11.0
0500000US22107,26.1
0500000US22109,19.8
0500000US22111,20.1
0500000US22113,22.4
0500000US22115,9.4
0500000US22117,12.9
0500000US22119,18.0
0500000US22121,16.1
0500000US22123,19.7
0500000US22125,9.5
0500000US22127,22.0
0500000US23001,13.2
0500000US23003,16.1
0500000US23005,8.1
0500000US23007,14.6
0500000US23009,11.2
0500000US23011,9.4
0500000US23013,14.3
0500000US23015,14.3
0500000US23017,15.1
0500000US23019,7.6
0500000US23021,21.2
0500000US23023,17.2
0500000US23025,18.1
0500000US23027,11.7
0500000US23029,21.0
0500000US23031,13.4
0500000US24001,8.1
0500000US24003,5.3
0500000US24005,5.7
0500000US24009,4.3
0500000US24011,11.7
0500000US24013,7.8
0500000US24015,10.7
0500000US24017,2.9
0500000US24019,14.8
0500000US24021,7.0
0500000US24023,12.5
0500000US24025,7.3
0500000US24027,5.1
0500000US24029,16.1
0500000US24031,3.2
0500000US24033,2.3
0500000US24035,8.6
0500000US24037,5.8
0500000US24039,8.6
0500000US24041,7.4
0500000US24043,9.8
0500000US24045,11.1
0500000US24047,5.8
0500000US24510,4.8
0500000US25001,4.5
0500000US25003,9.2
0500000US25005,12.2
0500000US25007,6.8
0500000US25009,11.1
0500000US25011,12.3
0500000US25013,12.2
0500000US25015,7.6
0500000US25017,10.0
0500000US25019,4.5
0500000US25021,7.1
0500000US25023,7.3
0500000US25025,4.9
0500000US25027,13.2
0500000US26001,19.0
0500000US26003,16.7
0500000US26005,29.1
0500000US26007,13.1
0500000US26009,21.2
0500000US26011,19.3
0500000US26013,18.6
0500000US26015,25.7
0500000US26017,16.7
0500000US26019,12.5
0500000US26021,21.5
0500000US26023,28.2
0500000US26025,25.2
0500000US26027,30.0
0500000US26029,20.2
0500000US26031,11.3
0500000US26033,9.3
0500000US26035,19.6
0500000US26037,14.1
0500000US26039,11.4
0500000US26041,17.3
0500000US26043,18.0
0500000US26045,16.7
0500000US26047,9.2
0500000US26049,16.6
0500000US26051,21.4
0500000US26053,20.0
0500000US26055,11.9
0500000US26057,22.3
0500000US26059,28.7
0500000US26061,10.9
0500000US26063,30.0
0500000US26065,10.3
0500000US26067,24.7
0500000US26069,18.7
0500000US26071,15.7
