GEO_ID,Unemployment
0500000US13183,8.7
0500000US13185,6.4
0500000US13187,4.0
0500000US13189,4.7
0500000US13191,5.2
0500000US13193,7.9
0500000US13195,4.5
0500000US13197,7.4
0500000US13199,5.8
0500000US13201,4.2
0500000US13205,8.6
0500000US13207,5.0
0500000US13209,3.0
0500000US13211,4.1
0500000US13213,5.3
0500000US13215,5.7
0500000US13217,6.7
0500000US13219,2.8
0500000US13221,3.2
0500000US13223,4.6
0500000US13225,6.0
0500000US13227,4.0
0500000US13229,4.5
0500000US13231,5.9
0500000US13233,5.0
0500000US13235,2.4
0500000US13237,4.6
0500000US13239,8.4
0500000US13241,3.2
0500000US13243,5.0
0500000US13245,6.3
0500000US13247,6.4
0500000US13249,7.7
0500000US13251,4.5
0500000US13253,4.0
0500000US13255,5.5
0500000US13257,5.8
0500000US13259,4.2
0500000US13261,6.9
0500000US13263,5.0
0500000US13265,5.1
0500000US13267,2.0
0500000US13269,9.1
0500000US13271,1.4
0500000US13273,6.3
0500000US13275,5.4
0500000US13277,2.8
0500000US13279,6.1
0500000US13281,4.0
0500000US13283,3.4
0500000US13285,6.6
0500000US13287,4.7
