,ONS ID,Constituency name,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave
130,E14000631,Chesham and Amersham,Buckinghamshire,59.05177318414565,12.728996776028826,Con,60.656627814377764,20.58568015637443,Con,55.40091586603214,12.868815659513333,Con,45.0
131,E14000632,Chesterfield,Derbyshire,18.06351087409748,47.90528233151184,Lab,34.76328583053394,54.80418135915037,Lab,37.0026114283185,40.21378303014208,Lab,59.3
132,E14000633,Chichester,West Sussex,57.671642835891426,12.133569015908574,Con,60.13551854200742,22.382255749524347,Con,57.805790049475036,14.808222980585537,Con,50.7
133,E14000634,Chingford and Woodford Green,London,47.938544425166654,28.794174048032144,Con,49.13864696237303,43.94710504461148,Con,48.47039881099827,45.86532903971596,Con,49.9
134,E14000635,Chippenham,Wiltshire,47.56438717129605,8.231811864926815,Con,54.71998599929997,19.663983199159958,Con,54.28116079090702,11.206851258340777,Con,51.6
135,E14000636,Chipping Barnet,London,48.589968498292876,34.148227793182805,Con,46.332749941360085,45.69583025097884,Con,44.72024874498428,42.614949017700496,Con,41.1
136,E14000637,Chorley,Lancashire,36.339727722772274,45.099783415841586,Lab,41.76043426681525,55.26296868821225,Lab,0.0,0.0,Spk,56.7
137,E14000638,Christchurch,Dorset,58.11455127044481,9.54593920373388,Con,69.57775407828731,19.8660978788956,Con,65.24224750245423,12.64268252776655,Con,60.0
138,E14000639,Cities Of London and Westminster,London,54.08318363962968,27.356639491502005,Con,46.57991410979459,38.4358669219227,Con,39.90590548416544,27.207827165695292,Con,28.1
139,E14000640,City Of Chester,Cheshire,43.05037039932761,43.23214948886848,Lab,40.49378777405576,56.75723578100352,Lab,38.33944281524927,49.63709677419355,Lab,42.3
140,E14000641,City Of Durham,Durham,22.24046946506383,47.28809476888042,Lab,29.815412631404687,55.401042960019865,Lab,31.736220553019916,42.02091733355165,Lab,43.3
141,E14000642,Clacton,Essex,36.65709050602845,14.395910149976249,UKIP,61.232302639030465,25.377732472533697,Con,72.2612972923275,15.48292189583046,Con,73.0
142,E14000643,Cleethorpes,Humberside,46.63221628335071,29.12683803144891,Con,57.10433910208177,35.36702616838057,Con,68.98940417359029,22.76915772891085,Con,69.5
143,W07000062,Clwyd South,Clwyd,30.370180241843485,37.22051106548027,Lab,39.083097614345945,50.707156962160425,Lab,44.68131989202887,41.268660827411445,Con,59.9
144,W07000059,Clwyd West,Clwyd,43.29178500052593,25.59429893762491,Con,48.06661091159541,39.61233826929699,Con,50.749944034027315,33.96761435713753,Con,53.0
145,S14000011,"Coatbridge, Chryston and Bellshill",Scotland,6.329638250029587,33.91652530671821,SNP,16.24777975133215,42.61323268206039,Lab,12.677049418303229,35.370481740320606,SNP,38.8
146,E14000644,Colchester,Essex,38.93359125800012,16.158705986458955,Con,45.877299467737416,35.27500233448501,Con,50.43186629943979,32.776872201300286,Con,51.5
147,E14000645,Colne Valley,West Yorkshire,44.447183098591545,34.978873239436616,Con,46.18172790466733,47.6961271102284,Lab,48.416869211062206,40.03645799119753,Con,50.1
148,E14000646,Congleton,Cheshire,53.28782172002511,20.384102322661647,Con,56.60578684355605,34.16442887375291,Con,58.96423392098964,26.533643177886884,Con,52.6
149,E14000647,Copeland,Cumbria,35.79521081981277,42.26489364386465,Lab,49.0646912199781,45.116127379038836,Con,53.749735437292756,40.01128800884227,Con,59.2
150,E14000648,Corby,Northamptonshire,42.76533627656923,38.471534873785025,Con,49.22579462306448,44.742237111855594,Con,55.245969408846626,38.26705250103348,Con,60.1
151,E14000649,Coventry North East,West Midlands,23.089673462622244,52.153631218772944,Lab,29.928184398383074,63.42779736819472,Lab,35.370353703537035,52.67752677526776,Lab,57.8
152,E14000650,Coventry North West,West Midlands,31.048048446271494,41.013570260354506,Lab,36.73895163393448,53.950931814078515,Lab,43.37717828418231,43.812835120643435,Lab,58.4
153,E14000651,Coventry South,West Midlands,34.97562873292295,42.270990182841714,Lab,38.13525069667511,55.040524154949054,Lab,42.49844596394637,43.38868661752953,Lab,50.4
154,E14000652,Crawley,West Sussex,47.0216271884655,33.57981462409887,Con,50.57585582718358,45.68854056849601,Con,54.18946271468366,37.435619952303654,Con,58.4
155,E14000653,Crewe and Nantwich,Cheshire,44.98356581689915,37.728475228475226,Con,47.031457284605736,47.11868718992495,Lab,53.12407462244596,37.37785016286645,Con,60.3
156,E14000654,Croydon Central,London,42.97803214899606,42.66636444343703,Con,42.425250915205545,52.32523515089944,Lab,39.18031270237765,50.187806457581644,Lab,50.3
157,E14000655,Croydon North,London,22.699077015059228,62.615373117596505,Lab,19.871526088925414,74.15426932559582,Lab,21.25914869895161,65.62786599291482,Lab,41.2
158,E14000656,Croydon South,London,54.491266980870535,24.792070973107847,Con,54.41663809850302,35.796725272213784,Con,52.20020890191718,31.41278344957714,Con,45.8
159,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,7.879389251144142,30.0109351585598,SNP,18.27390322359866,33.896835717381876,SNP,16.153745129799063,24.4757693823053,SNP,37.0
160,W07000070,Cynon Valley,Gwent and Mid Glamorgan,12.063533735888685,47.689682331320554,Lab,19.388717690711278,61.01503050122634,Lab,22.195396216430748,51.37253604974204,Lab,56.7
161,E14000657,Dagenham and Rainham,London,24.371660859465738,41.41695702671313,Lab,39.93194162685688,50.079619571144995,Lab,43.84360352120727,44.513547502000684,Lab,70.3
162,E14000658,Darlington,Durham,35.19360248900124,42.86964342140444,Lab,43.289376798982524,50.608028203583466,Lab,48.05048507977378,40.477723113706375,Con,58.1
163,E14000659,Dartford,Kent,48.97172726925865,25.420657026212368,Con,57.55753909707878,33.23989377397462,Con,62.947263202709955,27.480887770023877,Con,64.0
164,E14000660,Daventry,Northamptonshire,58.17053200807343,18.071899158383793,Con,63.71198102869051,24.666295384725938,Con,64.55237531139487,19.11920979739735,Con,58.6
165,W07000042,Delyn,Clwyd,32.722855541020365,40.545158448354115,Lab,41.43538484956111,52.19189202902227,Lab,43.6695334897055,41.41516810007818,Con,54.4
166,E14000661,Denton and Reddish,Greater Manchester,23.655024430599003,50.82857216721388,Lab,27.990605823379376,63.53948332028586,Lab,34.05721986109672,50.059604021975744,Lab,61.0
167,E14000662,Derby North,Derbyshire,36.65660967705889,36.56497932729914,Con,44.3930802103879,48.53303747534517,Lab,45.215560329242614,39.81325903396644,Con,54.3
168,E14000663,Derby South,Derbyshire,27.38608525232729,49.01273885350319,Lab,33.50991038714519,58.33664415309231,Lab,36.90593942819462,51.08096651123357,Lab,61.4
