ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
20,36.3631095095866,30.60967417159557,10.045238095238094,18.388095238095236,16.95,6.328571428571429,48.26428571428571,22.316666666666666,9.097619047619048,15.542857142857141,21.428571428571427,19.064285714285717,12.523809523809524,59.290476190476184,2.332512491013906,31.083333333333332,15.28095238095238,12.230952380952383,41.404761904761905,7.647619047619047,10.6,21.90714285714286,12.96904761904762,5.119836242142857
21,59.75986200828946,61.21001124882141,14.239906103286385,30.930516431924882,24.112676056338028,8.553051643192488,22.175586854460093,22.581220657276997,12.18262910798122,12.51549295774648,17.21079812206573,19.26619718309859,16.242723004694835,80.58028169014084,35.20926768295923,57.35868544600939,17.77511737089202,10.780281690140844,14.089201877934272,14.002347417840376,20.133802816901408,30.13568075117371,18.809389671361505,6.613733854788733
22,56.649800789300166,60.48705620520445,10.258591549295776,32.34507042253521,23.03887323943662,9.749014084507042,24.611830985915496,21.126478873239435,9.04225352112676,11.134366197183098,17.611549295774648,22.17661971830986,18.9030985915493,92.03352112676056,53.80628208117657,49.60338028169014,19.340281690140845,12.76225352112676,18.305352112676054,15.626760563380282,13.655492957746478,28.525915492957747,13.84225352112676,5.862943726112676
23,57.401226926345764,57.9066726908381,7.143396226415095,28.58490566037736,23.830188679245282,9.230188679245282,31.211320754716983,20.058490566037733,6.69811320754717,9.243396226415094,17.90566037735849,25.620754716981132,20.466037735849056,94.06981132075471,96.95507631107667,40.98301886792453,19.669811320754718,14.283018867924529,25.047169811320753,12.941509433962263,9.245283018867925,25.724528301886796,11.313207547169812,4.828012246981133
24,65.71182474537943,71.10561925315355,19.878888888888888,36.102777777777774,22.639444444444443,6.867777777777778,14.507777777777779,21.576666666666668,7.758333333333334,10.625,17.407222222222224,21.830000000000002,20.809444444444445,82.80611111111111,99.64771918820149,65.00611111111111,16.142777777777777,8.76888888888889,10.082777777777778,20.370555555555555,21.936666666666667,31.206111111111113,20.592777777777776,7.219476570777778
25,51.64185165991627,49.23149569666221,8.363696369636964,25.33003300330033,21.766006600660067,9.113531353135313,35.42310231023102,22.486138613861385,10.957425742574257,13.185478547854785,18.892739273927393,19.8996699669967,14.571617161716171,83.96336633663367,15.696113522496058,41.21551155115511,18.475907590759075,13.391089108910892,26.923762376237622,11.717821782178218,12.107590759075908,26.174257425742574,13.162376237623763,5.199544912343234
26,55.51893108151997,56.02047630963371,8.125,28.536875,21.333750000000002,9.49625,32.496875,22.369999999999997,9.738125,11.54875,19.078125,21.57875,15.6725,89.6625,45.98120711940071,37.871875,18.663125,14.355625,29.108749999999997,13.466249999999999,9.759375,27.428125,12.1125,4.96241886875
27,55.02151170931065,57.54976892658964,10.864864864864865,31.594594594594593,23.31981981981982,9.291891891891893,24.92162162162162,20.4981981981982,8.827927927927927,11.72072072072072,17.242342342342344,21.233333333333334,20.451351351351352,86.51981981981983,14.71468732578812,52.149549549549555,19.02252252252252,11.667567567567566,17.167567567567566,11.218018018018018,15.200900900900901,28.407207207207204,15.536936936936936,6.257978082702702
28,58.03864511807908,58.677483288735125,11.483333333333333,28.029999999999998,23.206666666666667,7.94,29.353333333333335,20.996666666666666,21.506666666666668,13.916666666666666,15.686666666666667,15.85,12.023333333333333,75.52,40.69789379120553,56.02333333333333,17.716666666666665,11.266666666666667,15.020000000000001,12.120000000000001,22.126666666666665,30.43,18.66,6.172318788666667
29,41.62715946163396,37.48006029917503,11.711111111111112,23.469444444444445,20.327777777777776,7.48888888888889,36.99722222222223,19.519444444444446,21.947222222222223,15.658333333333335,16.369444444444444,15.719444444444443,10.783333333333333,67.13333333333334,7.756457521933381,55.26111111111111,16.50277777777778,10.233333333333333,18.00277777777778,8.797222222222222,24.430555555555557,28.06388888888889,19.1,5.905941704722222
30,27.24075255400314,26.69955620423137,17.486363636363635,30.122727272727275,22.34090909090909,7.15,22.913636363636364,23.972727272727273,10.218181818181819,14.813636363636363,18.13181818181818,19.25,13.595454545454546,33.39090909090909,5.351119008104552,59.25,16.38181818181818,10.05909090909091,14.295454545454545,10.286363636363637,24.20909090909091,34.25,23.086363636363636,8.321717170909091
31,70.63638607861049,72.95542216048456,27.942857142857143,34.17857142857143,20.25,5.6000000000000005,12.035714285714286,27.57857142857143,8.935714285714287,12.135714285714286,17.70714285714286,18.87857142857143,14.799999999999999,76.94285714285715,100.0,62.614285714285714,17.064285714285713,9.221428571428572,11.042857142857143,39.5,21.0,32.95,23.557142857142857,4.937604872142857
32,61.37003251533512,66.95305444774826,13.426989619377164,36.76349480968858,22.262456747404844,9.024048442906574,18.527681660899653,22.619723183391006,8.956228373702421,11.700000000000001,18.006401384083045,20.991349480968857,17.724567474048442,90.24100346020762,42.92818689440172,54.11522491349481,19.29031141868512,11.795328719723184,14.800173010380623,20.30553633217993,16.06228373702422,31.805882352941175,16.68892733564014,6.150776245605536
33,74.28632787679634,75.83050380952032,24.354545454545452,32.6,21.554545454545455,7.045454545454546,14.45909090909091,27.63181818181818,8.322727272727272,12.72272727272727,17.80909090909091,19.15909090909091,14.345454545454546,85.39090909090909,100.0,47.45,20.849999999999998,12.877272727272727,18.831818181818182,38.54090909090909,13.44090909090909,31.19545454545454,17.25,3.8547379749999995
34,66.46724242089823,72.81106351209864,11.332680722891565,37.913403614457835,22.66370481927711,9.627710843373494,18.466265060240964,22.25828313253012,7.279216867469879,10.287650602409638,17.04066265060241,22.845331325301203,20.28825301204819,94.9546686746988,97.26923376423561,50.78057228915663,20.235391566265058,12.768373493975904,16.218825301204816,24.987198795180724,12.55,30.922891566265058,13.907831325301204,4.957648442801205
